id,dto,categoría,nivel,texto,A,B,C,D,correct_letter,why,activo
1,Recepción,Operativa Turnos,Avanzado,¿A qué hora se recomienda que llegue el recepcionista para el turno de mañana?,06:45:00,Ninguna es correcta ,07:00 en punto,06:50 – 06:55,D,"El turno debe presentarse unos minutos antes (≈06:50) para el relevo y repaso de incidencias, garantizando continuidad del servicio.",1
2,Recepción,Operativa Turnos,Intermedio,¿Qué debe hacer el recepcionista al inicio del turno de mañana?,Imprimir solo las salidas,Ir directamente a atender huéspedes,Revisar redes sociales,Revisar la agenda de novedades con el turno anterior,D,"Antes de atender clientes, se revisa la agenda y se transmite información clave del turno saliente para mantener coherencia operativa.",1
3,Recepción,Operativa Turnos,Básico,¿Qué listados se imprimen al inicio del turno de mañana?,Listado de empleados,Listado de proveedores,Listado de menús del restaurante,"Listado de reservas del día, situación de habitaciones y salidas/entradas",D,"El listado permite verificar disponibilidad, ocupación y previsión de servicios, esenciales para control de llegadas y coordinación con pisos.",1
4,Recepción,Operativa Turnos,Básico,"¿Qué significa ""FdS"" en los manuales?",Factura de Servicio,Fuera de Servicio,Firma digital,Fecha de Salida,B,"En los manuales y planning, “FdS” significa “Fuera de Servicio”, indicando habitación no disponible temporalmente (mantenimiento o bloqueo).",1
5,Recepción,Operativa Turnos,Básico,¿Está permitido coger dinero de la caja dejando un vale?,"No, está terminantemente prohibido","Sí, si es para emergencias",Solo los supervisores pueden hacerlo,"Sí, con autorización verbal",A,"Ningún empleado puede retirar efectivo, aunque deje nota: vulnera el control de caja y contabilidad; cualquier gasto se tramita por supervisión.",1
6,Recepción,Operativa Turnos,Básico,¿Qué se debe hacer al finalizar el turno de tarde?,Ninguna de las anteriores es correcta,"Cuadrar la caja, redactar informe de novedades y organizar el espacio",No es necesario informar al turno de noche,Dejar la caja abierta para el siguiente turno,B,"El turno de tarde debe cerrar operaciones, cuadrar caja, anotar incidencias y dejar listo el parte e información para el turno nocturno.",1
7,Recepción,Operativa Turnos,Básico,"¿Qué es un ""walk-in""?",Un error en el PMS,Un huésped que llega sin reserva,Un huésped VIP,Una habitación con vistas,B,Walk-in es un cliente sin reserva previa que solicita alojamiento directamente en recepción; debe registrarse y cargarse manualmente.,1
8,Recepción,Operativa Turnos,Básico,¿A qué hora se revisan las llegadas pendientes en el turno de tarde?,21:00:00,20:00:00,18:00:00,22:00:00,A,A las 21:00 el turno de tarde revisa las llegadas pendientes para detectar no-shows y avisar a recepción noche.,1
9,Recepción,Operativa Turnos,Básico,¿Qué debe hacer el turno de noche antes del cierre?,Apagar todas las luces,"Cuadrar la caja, gestionar no shows y revisar reservas",Cerrar el hotel al público,No procede según protocolo,B,"Antes del cierre, se revisan saldos, se procesan no-shows y se validan reservas activas; luego se ejecuta el cierre en PMS.",1
10,Recepción,Operativa Turnos,Básico,¿Qué se imprime para Housekeeping en el turno de noche?,Listado completo de situación de habitaciones,Ninguna de las anteriores es correcta,Listado de salidas,Listado de pagos pendientes,A,"Se entrega el listado de situación actualizado, con check-in/out, FdS y ocupaciones, base de trabajo del departamento de pisos.",1
11,Recepción,Operativa Turnos,Básico,¿Qué se debe verificar al hacer check-in nocturno?,"Reserva, identidad y método de pago/garantía",Si habla español,Solo el nombre del huésped,Si el huésped trae equipaje,A,"Verificar reserva, identidad y método de pago/garantía.",1
12,Recepción,Operativa Turnos,Básico,"¿Qué significa ""Sup"" en las observaciones de una reserva?",Superficie,Supletoria (cama extra),Superior room,Supervisor,B,"Ejemplo: Sup o Cun → ""Sup"" = cama supletoria.",1
13,Recepción,Operativa Turnos,Básico,¿Quién debe ser informado de la llegada de un cliente VIP?,Mantenimiento,Restaurante,Housekeeping,Gerencia,D,Coordinación con Gerencia: informar de inmediato la llegada de clientes VIP.,1
14,Recepción,Operativa Turnos,Básico,¿Qué se debe hacer con las facturas a crédito en el turno de noche?,Enviarlas por email,Archivarlas sin revisar,"Imprimirlas y comprobar datos (bono, tarifa, fechas, saldo)",No procede según protocolo,C,"Comprueba antes de confirmar factura: N.º de bono, comisiones, tarifa, fechas, saldo exacto.",1
15,Recepción,Operativa Turnos,Básico,¿Qué se debe hacer si un huésped pide late check-out?,Cobrar el doble,Denegarlo siempre,Esperar a que se vaya sin avisar,Gestionarlo según protocolo y registrar en el sistema,D,Gestionar los late check-out según protocolo (Turno de Tarde).,1
16,Recepción,Operativa Turnos,Básico,¿Qué se debe hacer con los objetos perdidos de habitaciones con salida del día?,Dejarlos en recepción sin más,Tirarlos si no son valiosos,Registrarlos y custodiarlos según protocolo,Entregarlos al siguiente huésped,C,Registrar objetos perdidos de habitaciones con salida del día (registro y custodia según protocolo).,1
17,Recepción,Operativa Turnos,Básico,¿Qué se revisa en el LOG CHANNEL al final del turno de tarde?,"Las garantías, reléase y bonos “asume crédito” acordes con tarifa y canal",Los correos no leídos,Los mensajes de WhatsApp,El estado del TPV,A,"Control visual del LOG CHANNEL filtrando actividad del turno y comprobando: garantías acordes con tarifa y canal, reléase, bonos “asume crédito”.",1
18,Recepción,Operativa Turnos,Básico,¿Qué debe realizar el turno de mañana respecto a las habitaciones con salida antes de que los clientes bajen?,No facturar si el huésped es habitual,Ninguna de las anteriores es correcta,"Verificar saldos, cargos y facturas a crédito",Acelerar la salida de todos los huéspedes,C,"Antes de que los clientes bajen a recepción, el turno de mañana debe revisar saldos, cargos y facturas a crédito para asegurar que todos los servicios estén correctamente registrados y que el check-out pueda completarse sin incidencias.",1
19,Recepción,Operativa Turnos,Básico,¿Qué se debe hacer al asignar habitaciones en el turno de mañana?,Evitar huecos difíciles de asignar y considerar solicitudes específicas,No tener en cuenta el rack,Asignar siempre la habitación más cara,Asignar al azar,A,Asignar habitaciones considerando solicitudes específicas y disponibilidad. Tener en cuenta el rack... evitar huecos difíciles.,1
20,Recepción,Operativa Turnos,Básico,¿Qué se debe hacer si el personal de limpieza no puede limpiar todas las habitaciones?,Avisar a dirección para que tome la decisión,Bloquear habitaciones en el PMS sin autorización,Saltar habitaciones sin avisar,Decirle al huésped que espere,A,"Si el personal de limpieza... deben dejar habitaciones bloqueadas, es importante avisar a dirección... Solo si estás autorizado, bloquea en el PMS.",1
21,Recepción,Operativa Turnos,Básico,¿Qué se debe hacer con las reservas fuera de reléase en el turno de mañana?,Darlas por canceladas sin más,Hacer check-in igual,Ninguna de las anteriores es correcta,Cobrar las que procedan,D,Gestionar pagos de reservas fuera de plazo de cancelación conforme corresponda... cobrando las que proceda.,1
22,Recepción,Operativa Turnos,Básico,¿Qué se debe hacer al finalizar el turno de noche?,No imprimir nada,Irse sin informar si no hay novedades,Apagar el PMS,"Dejar todo listo para el equipo de mañana: listados, incidencias, espacio ordenado",D,Deja la operativa lista para el equipo de mañana: imprime y ordena los listados... redacta un parte claro.,1
23,Recepción,Operativa Turnos,Básico,¿Qué se debe revisar en el MR-HOSPE al final de los turnos?,Que coincida con el WhatsApp,Que esté en blanco,Que tenga todas las habitaciones ocupadas,Que no haya errores,D,MR-HOSPE correcto y sin errores es un requisito de cierre en todos los turnos.,1
24,Recepción,Operativa Turnos,Básico,¿Qué se debe hacer si hay un incendio?,Ninguna de las anteriores es correcta,"Activar alarma, llamar 112, evacuar por escaleras y registrar",Cerrar la puerta y esperar,Usar el ascensor para evacuar,B,"Activar la alarma y avisar al 112... Evacuar por escaleras; nunca usar ascensores... Registrar hora, zona, acciones.",1
25,Recepción,Operativa Turnos,Básico,¿Qué se debe hacer con los correos electrónicos durante el turno?,Responder solo los urgentes,Dejarlos para el turno siguiente,Ninguna de las anteriores es correcta,Mantener la bandeja al día y responder en tiempo hábil,D,"Correo electrónico: Bandeja siempre al día (documento inicial) y en Turno de Tarde: ""No quedan correos pendientes"".",1
26,Recepción,Operativa Turnos,Intermedio,¿Por qué es importante revisar el rack al inicio del turno?,Para saber cuántos empleados hay,Para tener una visión global del inventario real y evitar overbooking,Para saber qué habitaciones están decoradas,Para imprimir listados de nómina,B,"Confirmar el inventario real exige revisar el rack, inventory y restricciones... para obtener la visualización global indispensable.",1
27,Recepción,Operativa Turnos,Intermedio,¿Qué debe hacer el turno de mañana si un huésped quiere hacer late check-out?,"Revisar ocupación, aplicar política de precios, registrar el servicio y coordinar con Pisos","Confirmar el late check-out si el huésped lo tiene incluido, sin revisar ocupación ni registrar el servicio","Informar que no es posible por alta ocupación, pero ofrecer alternativas como cambio de habitación o uso de zonas comunes",Aplicar la tarifa máxima sin consultar duración ni condiciones del servicio,A,"La gestión del late check-out exige aplicar criterios operativos claros:    1º,- Disponibilidad real: Solo se autoriza si la ocupación es inferior al 60% y no hay restricciones (ej. sábado o alta rotación).    2º,-  Condiciones comerciales: Se debe verificar si el servicio está incluido en la tarifa; si no, aplicar la tarifa correspondiente según hora y día.   3 º,- Registro completo: El servicio debe anotarse en el PMS, bloquear la habitación en el rack (mismo día entrada/salida), dejar observaciones en el Cardex y coordinar con Pisos.     4º ,- Comunicación clara: El huésped debe recibir confirmación formal, con hora límite y coste, y saber que superar el horario implica cargos.",1
28,Recepción,Operativa Turnos,Intermedio,"¿Por qué se revisan las reservas ""por segunda vez"" en el turno de mañana?",Porque los huéspedes cambian de idea,"Porque el turno de noche ya lo hizo, y se confirma exactitud de datos",Porque el PMS se borra cada noche,Es un error del documento,B,"Esto se revisa por segunda vez en el día, ya que el turno de noche también lo ha revisado.",1
